,epoch,validation_error,st_worker_timestamp,st_worker_time,st_worker_iter,st_decision,st_status,trial_id,config_learning_rate,config_num_hiddens,config_num_layers,config_dropout,config_weight_decay,st_tuner_time
53,2,0.1192081719636917,1770647228.2337618,189.45892804899995,1,CONTINUE,InProgress,11,0.0003631572336868,128,4,0.1114719927800952,0.000489124774107,3644.274879731
54,3,0.095113880932331,1770647318.5703936,279.7955591709997,2,STOP,InProgress,11,0.0003631572336868,128,4,0.1114719927800952,0.000489124774107,3734.362889379
55,1,0.1863018423318863,1770647380.1647446,50.88934193399928,0,STOP,InProgress,12,0.0001544399736226,32,2,0.4641732267194836,8.953485577366652e-05,3794.443653023
56,1,0.0905123427510261,1770647450.4325476,60.780291729000055,0,CONTINUE,InProgress,13,0.0014211981881862,32,3,0.4479597966926173,0.0001234697215711,3864.54156833
57,2,0.0703564137220382,1770647504.4563568,114.80410129999927,1,CONTINUE,InProgress,13,0.0014211981881862,32,3,0.4479597966926173,0.0001234697215711,3919.598591432
58,3,0.1325575411319732,1770647557.3364797,167.6842234149999,2,STOP,InProgress,13,0.0014211981881862,32,3,0.4479597966926173,0.0001234697215711,3969.664699846
59,1,0.2255815416574478,1770647642.926881,78.23865018699962,0,STOP,InProgress,14,0.0040448515348654,128,3,0.2465359103369937,2.7095298573355785e-05,4059.768015404
60,1,0.1268544495105743,1770647722.988628,68.90875347200017,0,STOP,InProgress,15,0.0012766229157449,64,4,0.2913229693037907,0.0008429443022162,4139.865141299
61,1,0.1483369618654251,1770648089.1539435,353.5437760960004,0,STOP,InProgress,16,0.000139996082619,256,5,0.3295849698978408,0.0004453965247671,4505.224771318
62,1,0.0948309376835823,1770648381.3851106,280.8946170300005,0,CONTINUE,InProgress,17,0.0001403875267044,256,4,0.394115341702365,0.0003299273042508,4795.514883241
63,2,0.0904635265469551,1770648638.5327306,538.042236927,1,CONTINUE,InProgress,17,0.0001403875267044,256,4,0.394115341702365,0.0003299273042508,5050.753421255
64,3,0.0906849205493927,1770648894.7634816,794.272986721,2,CONTINUE,InProgress,17,0.0001403875267044,256,4,0.394115341702365,0.0003299273042508,5310.996443645
65,4,0.0812499374151229,1770649152.6974182,1052.2069231290006,3,CONTINUE,InProgress,17,0.0001403875267044,256,4,0.394115341702365,0.0003299273042508,5566.227611008
66,5,0.0704955533146858,1770649409.950205,1309.459710202001,4,CONTINUE,InProgress,17,0.0001403875267044,256,4,0.394115341702365,0.0003299273042508,5826.456618752
67,6,0.0714035555720329,1770649665.302014,1564.811519025,5,CONTINUE,InProgress,17,0.0001403875267044,256,4,0.394115341702365,0.0003299273042508,6081.696280579
